State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
Pennsylvania,2006,1018244,1324878,8099649,50,234,422,49.104,176.506,52.116,174,847,4532,171.174,639.0519999999999,559.5609999999999,128,515,2027,125.68099999999998,388.366,250.223,14,80,120,13.372,60.24,14.806,52,48,5,57.184,67.11,0.961,70,210,279,69.086,158.62699999999998,34.418,136,378,501,133.217,285.294,61.906000000000006,154,606,2451,150.96599999999998,457.394,302.587
Texas,2006,2105817,2699382,13969152,105,398,856,50.082,147.32,61.278,311,1565,7079,147.784,579.668,506.78,199,929,3540,94.731,344.279,253.415,43,156,233,20.397,57.928,16.687,95,70,10,51.409000000000006,45.412,1.062,115,297,385,54.706,110.131,27.562,236,554,693,112.224,205.14,49.589,239,1078,4201,113.259,399.23,300.769
Alabama,2007,383012,499641,2945019,17,65,158,45.596,131.019,53.541,50,262,1234,130.411,524.713,419.022,43,192,804,113.181,383.97,272.868,4,20,36,10.322,39.479,12.175,16,15,2,45.213,46.279,1.078,20,65,90,52.351,129.917,30.587,42,103,163,108.52,207.027,55.397,56,237,956,147.446,473.836,324.69100000000003
California,2007,3209102,4257978,22463775,179,714,1389,55.925,167.796,61.817,475,2462,11946,147.934,578.177,531.786,213,1215,4371,66.251,285.42400000000004,194.592,51,261,367,15.85,61.256,16.316,157,170,19,55.822,71.455,1.302,221,736,1037,68.79899999999999,172.88899999999998,46.16,425,1254,1782,132.45000000000002,294.41299999999995,79.33800000000001,269,1410,5074,83.68100000000001,331.231,225.877
Florida,2007,1368710,1777472,12159193,66,273,764,47.918,153.641,62.82699999999999,221,1037,6794,161.54399999999998,583.154,558.7339999999999,125,614,2937,91.265,345.64,241.548,20,99,186,14.668,55.531,15.327,64,58,7,51.703,58.111,1.05,90,278,492,65.489,156.205,40.436,169,463,849,123.323,260.407,69.82,156,718,3501,113.668,403.789,287.91099999999994
Hawaii,2007,95794,128777,828347,5,23,59,56.627,176.60600000000002,71.275,12,75,420,126.381,586.108,506.842,7,46,175,69.232,358.267,211.395,1,7,14,15.275,55.002,16.523,5,4,0,65.54,78.045,0.707,7,22,41,70.893,173.119,49.735,13,38,59,136.346,292.883,70.794,10,50,194,99.676,388.492,233.917
Michigan,2007,869168,1086307,6405116,47,191,406,54.051,175.82500000000002,63.4,136,720,3706,156.827,662.734,578.553,91,431,1608,104.282,396.636,251.013,10,68,101,11.347,62.458,15.768,43,41,5,56.84,79.89699999999999,1.338,64,209,314,73.572,192.04,48.992,118,349,497,136.08200000000002,321.217,77.561,114,497,1923,131.012,457.2,300.221
Nevada,2007,213693,241972,1646368,13,42,111,60.903,175.38899999999998,67.30600000000001,31,142,917,143.896,586.179,557.071,21,85,452,99.518,350.40700000000004,274.43600000000004,5,17,31,21.226,69.532,19.044,10,7,2,57.274,62.291,1.5399999999999998,16,39,75,75.762,163.176,45.621,32,67,128,150.489,276.107,77.462,25,97,501,116.951,402.207,304.152
New York,2007,1559314,2218415,12500501,74,377,702,47.594,170.141,56.168,271,1453,7276,174.098,655.1519999999999,582.02,129,740,2595,82.97699999999999,333.566,207.612,20,143,261,12.508,64.631,20.877,78,76,9,57.224,67.316,1.26,122,473,535,78.263,213.108,42.833000000000006,222,717,940,142.539,323.362,75.19099999999999,163,852,2959,104.421,384.183,236.729
Pennsylvania,2007,998611,1325852,8116495,48,235,444,48.208,177.369,54.703,167,858,4592,167.16400000000002,646.9,565.763,118,507,2069,117.816,382.212,254.899,14,81,134,13.856,61.341,16.462,48,45,5,53.507,67.25699999999999,1.071,69,203,267,69.422,153.238,32.944,123,357,472,123.139,268.928,58.137,144,596,2484,144.476,449.291,306.017
Texas,2007,2107904,2702238,14256754,103,402,810,48.697,148.642,56.81,298,1554,7117,141.405,574.975,499.229,185,913,3365,87.81899999999999,337.72400000000005,236.037,35,138,210,16.396,51.066,14.76,91,78,10,48.825,49.611,1.144,121,316,407,57.441,116.967,28.572,232,545,698,110.042,201.613,48.969,222,1049,4020,105.207,388.092,281.951
Alabama,2008,379377,505718,2974610,16,70,162,41.228,137.476,54.504,48,275,1334,126.95300000000002,544.142,448.369,39,193,803,104.036,381.565,269.786,3,17,33,7.569,34.392,11.111,16,17,2,44.659,55.28,1.161,22,73,100,56.982,144.948,33.529,38,114,175,101.094,226.03500000000005,58.909000000000006,50,230,991,132.61100000000002,454.119,333.293
California,2008,3147890,4329856,22568441,166,709,1492,52.708,163.64100000000002,66.106,444,2589,12185,141.08399999999995,597.891,539.929,222,1281,4292,70.498,295.762,190.17,44,241,352,13.912,55.71,15.601,182,171,19,66.64399999999999,73.85799999999999,1.385,242,808,1256,77.004,186.706,55.653,476,1392,2010,151.175,321.473,89.062,298,1488,5063,94.674,343.718,224.347
Florida,2008,1348640,1804515,12261205,58,263,745,43.277,146.02,60.793,206,1027,6692,152.962,569.056,545.769,112,588,2790,83.04899999999999,326.11,227.583,14,85,179,10.519,47.033,14.56,65,63,7,53.453,62.188,1.047,85,274,533,63.121,152.105,43.509,175,480,905,129.39600000000002,265.83,73.825,143,692,3292,106.101,383.564,268.468
Hawaii,2008,93198,131005,828273,5,21,53,58.328,163.376,63.751000000000005,11,75,422,116.426,572.083,509.469,7,45,161,76.032,340.67,194.618,1,6,12,12.456,43.937,14.002,4,4,0,64.15899999999999,75.69099999999999,1.146,7,25,57,77.19800000000001,191.485,68.40599999999999,13,41,72,144.518,311.356,87.385,9,49,177,99.325,372.58,213.168
Michigan,2008,842712,1086902,6402870,41,183,412,48.983,167.941,64.288,123,693,3739,145.592,637.3109999999999,583.917,87,433,1656,103.427,397.92,258.701,9,62,95,10.532,57.399,14.91,44,46,4,59.749,87.222,1.345,66,206,354,78.844,189.865,55.212,120,351,545,142.1,323.33,85.076,109,498,1931,128.832,458.633,301.656
Nevada,2008,214026,246764,1668924,12,41,109,54.03,167.62099999999998,65.331,33,149,978,152.945,603.2389999999999,586.273,20,84,417,94.441,339.221,249.704,3,17,30,15.019,67.209,17.941,12,8,2,71.596,65.514,1.45,19,45,84,89.631,183.422,50.57,35,72,129,164.522,289.8,77.449,26,100,480,119.788,404.035,287.75600000000003
New York,2008,1535172,2262614,12574826,82,410,799,53.117,180.997,63.56,258,1501,7365,168.298,663.191,585.712,126,778,2584,82.15,343.786,205.471,17,165,254,10.861,73.087,20.194,81,81,9,60.525000000000006,73.843,1.346,131,522,612,85.013,230.887,48.67,228,823,1048,148.748,363.572,83.372,165,885,2972,107.34,391.349,236.351
Pennsylvania,2008,980441,1342616,8192882,41,229,455,42.148,170.745,55.588,164,890,4737,167.31799999999998,663.0749999999999,578.138,109,520,2073,111.335,387.177,252.988,11,79,149,10.848999999999998,58.599,18.202,48,51,5,53.672,74.715,1.044,71,229,311,71.946,170.768,37.977,126,386,543,128.691,287.76800000000003,66.236,136,608,2513,138.43800000000002,452.948,306.74600000000004
Texas,2008,2113980,2737418,14523007,98,404,850,46.258,147.57600000000002,58.535,298,1601,7483,140.854,584.896,515.2379999999999,173,921,3268,81.70700000000001,336.384,225.05,25,139,203,11.597,50.885,13.97,99,92,10,52.017,58.589,1.143,129,368,422,61.057,134.467,29.057,238,603,769,112.409,220.299,52.926,212,1050,3981,100.1,383.627,274.11600000000004
Alabama,2009,375942,515510,2993410,16,71,178,42.954,136.93099999999998,59.574000000000005,46,270,1359,121.178,523.092,453.932,34,191,826,90.082,371.373,276.034,3,13,24,6.722,26.142,8.094000000000001,16,17,2,45.413,57.413,1.323,22,72,99,57.453,139.016,32.954,41,118,191,107.952,229.293,63.953,45,228,996,118.858,442.994,332.852
California,2009,3101979,4325900,22773074,167,689,1566,53.891,159.286,68.771,434,2639,12132,139.94799999999998,609.933,532.7180000000001,212,1248,4141,68.26899999999999,288.489,181.82,40,244,352,12.775,56.414,15.478,185,164,29,68.778,74.041,2.039,267,863,1358,85.956,199.448,59.631,493,1422,2234,158.84,328.70300000000003,98.088,281,1468,4813,90.573,339.314,211.328
Florida,2009,1336737,1850052,12361513,59,255,739,44.363,137.989,59.789,192,1051,6642,143.584,567.965,537.2829999999999,106,587,2779,79.489,317.257,224.824,12,93,182,8.769,50.496,14.722,68,66,12,56.871,64.015,1.402,92,319,535,69.16,172.24,43.318000000000005,189,530,952,141.02700000000002,286.66700000000003,77.018,139,695,3244,104.279,375.616,262.442
Hawaii,2009,91104,131160,827725,5,22,53,54.901,171.435,64.57300000000001,12,78,412,129.236,598.007,498.318,7,43,158,71.64800000000001,326.086,190.807,1,6,10,8.722000000000001,43.569,12.192,4,5,1,68.46199999999999,82.371,2.116,7,26,49,78.972,198.945,59.664,13,41,68,138.598,314.634,82.23700000000001,9,48,180,100.392,367.97,217.446
Michigan,2009,822105,1097830,6398696,37,173,430,44.943,157.628,67.16,110,687,3756,133.482,626.1529999999999,586.951,78,430,1647,94.851,391.695,257.45,7,50,81,8.635,45.406,12.691,43,48,4,60.387,89.292,1.469,67,220,414,80.901,200.577,64.719,118,358,610,142.96200000000002,325.85,95.315,98,498,1905,119.14,453.451,297.66900000000004
Nevada,2009,212438,257198,1680228,11,47,123,53.828,181.316,73.404,31,150,992,144.679,584.4549999999999,590.514,16,85,408,73.87,331.65099999999995,242.969,2,17,33,10.551,65.878,19.348,11,8,2,65.137,63.73,1.773,16,47,88,76.10300000000001,181.645,52.205,32,72,138,150.224,280.333,81.872,21,102,466,99.302,396.239,277.374
New York,2009,1509858,2236966,12648267,75,371,758,49.692,165.97,59.926,253,1490,7371,167.483,665.952,582.758,118,709,2645,77.906,316.995,209.129,15,144,211,9.658,64.24499999999999,16.692999999999998,76,85,11,57.09,74.30799999999999,1.641,130,480,660,85.78099999999999,214.614,52.197,216,773,1142,143.2,345.613,90.304,151,815,3004,99.776,364.223,237.529
Pennsylvania,2009,962444,1360835,8272159,40,226,459,41.563,165.80900000000003,55.505,152,902,4798,157.84500000000003,662.771,580.0600000000001,99,520,2035,102.84,381.83,246.038,8,70,128,8.81,51.684,15.521,50,58,6,58.092,82.729,1.252,71,261,321,74.03800000000001,191.828,38.772,131,428,603,136.163,314.337,72.865,125,613,2514,129.423,450.269,303.905
Texas,2009,2125058,2813275,14745138,97,415,849,45.767,147.425,57.6,284,1666,7724,133.53699999999998,592.309,523.8000000000001,170,918,3248,79.951,326.151,220.264,24,132,191,11.281,47.032,12.967,104,104,14,54.812,64.815,1.605,138,415,511,64.903,147.401,34.643,263,671,875,123.79,238.34,59.318000000000005,210,1079,3897,99.051,383.53,264.286
Alabama,2010,386718,535455,3052348,14,64,128,35.191,120.055,42.083000000000006,43,274,1375,111.804,511.119,450.579,34,195,815,87.872,364.797,267.157,3,13,32,6.677,24.98,10.345,16,18,2,46.016,55.941,1.186,23,76,112,58.274,142.542,36.742,43,120,183,110.797,223.545,59.822,43,232,990,110.05,433.35,324.356
California,2010,3195149,4379387,23321879,172,705,1432,53.704,161.07,61.416,447,2557,12372,139.768,583.841,530.477,207,1214,3667,64.748,277.171,157.252,42,243,292,13.138,55.587,12.512,197,191,36,71.88799999999999,83.52900000000001,2.439,307,925,1426,96.231,211.2,61.146,545,1429,2345,170.696,326.336,100.568,245,1411,4391,76.829,322.235,188.273
Florida,2010,1383191,1933760,12708633,55,257,616,39.802,132.776,48.508,174,1117,6873,125.885,577.4010000000001,540.8,91,605,2773,66.05999999999999,312.623,218.214,12,101,146,8.33,52.005,11.516,68,75,13,54.71,72.213,1.62,96,360,541,69.053,185.962,42.534,190,599,947,137.669,309.819,74.499,120,712,3306,86.616,368.249,260.112
Hawaii,2010,99395,134011,878476,5,23,55,47.378,174.257,62.365,15,81,447,149.19299999999998,606.023,509.294,7,41,168,71.37,309.345,191.225,1,5,10,8.201,39.569,11.008,5,5,1,71.80799999999999,77.14699999999999,2.72,9,23,39,87.55499999999999,168.17399999999998,43.987,15,38,72,154.233,282.176,82.25200000000001,10,47,181,97.845,348.549,206.176
Michigan,2010,826549,1088897,6365041,33,161,388,39.831,148.143,60.993,106,685,3646,128.11800000000002,629.111,572.8389999999999,71,426,1667,86.184,390.915,261.93300000000005,7,44,76,9.041,40.352,11.922,44,46,6,61.711,84.756,1.876,67,228,413,81.531,209.826,64.83999999999999,118,364,611,142.937,334.676,96.056,91,498,1939,110.471,457.062,304.646
Nevada,2010,219015,279716,1733566,11,50,138,51.748000000000005,177.25199999999998,79.661,31,165,985,141.153,588.544,568.467,17,99,397,75.402,354.221,229.018,2,15,22,11.094,51.862,12.548,13,12,2,70.64099999999999,83.724,1.967,18,54,100,82.907,192.767,57.693,36,83,177,165.825,297.569,102.005,21,111,471,94.45,396.907,271.704
New York,2010,1497645,2236959,12651349,62,318,716,41.565,141.94,56.567,250,1466,7302,166.80700000000002,655.208,577.176,101,667,2676,67.601,298.235,211.514,12,112,184,8.258,50.01499999999999,14.524,77,87,16,57.246,72.11099999999999,2.352,119,439,668,79.36999999999999,196.376,52.830000000000005,207,713,1111,138.225,318.57,87.81400000000001,133,777,3053,88.726,347.377,241.336
Pennsylvania,2010,977609,1402639,8359212,40,213,508,40.648,151.582,60.777,134,909,4835,137.418,648.245,578.4449999999999,93,513,2020,94.929,365.439,241.616,8,66,104,7.979,46.954,12.443,49,59,7,56.243,81.123,1.676,68,256,346,70.04299999999999,182.619,41.377,125,439,602,128.005,313.079,71.96900000000001,119,613,2435,121.441,437.322,291.298
Texas,2010,2243713,2871691,15188973,85,417,815,37.976000000000006,145.256,53.689,268,1681,8078,119.54,585.4200000000001,531.865,150,909,3282,66.743,316.461,216.095,26,122,156,11.561,42.603,10.258,108,110,13,53.982,66.19200000000001,1.504,138,416,516,61.431,145.033,33.972,273,697,890,121.639,242.857,58.58,198,1063,3907,88.411,370.28,257.24
Alabama,2011,385060,536921,3073532,13,62,125,32.715,114.617,40.509,44,283,1400,113.569,526.524,455.585,32,196,804,82.184,365.729,261.683,3,14,31,6.692,26.832,10.054,18,18,2,49.418,59.523,1.111,22,77,104,56.178,143.431,33.842,42,126,193,108.574,235.442,62.94800000000001,41,235,1010,107.653,437.098,328.727
California,2011,3156459,4427350,23658234,133,685,1401,42.105,154.648,59.2,413,2557,12529,130.775,577.558,529.578,171,1194,3741,54.277,269.758,158.142,34,256,305,10.839,57.8,12.885,183,203,32,68.288,88.187,2.464,279,963,1595,88.284,217.413,67.418,509,1483,2387,161.372,335.0,100.879,207,1377,4479,65.641,310.993,189.302
Florida,2011,1381693,1959129,12916437,42,258,655,30.753,131.767,50.743,172,1164,7100,124.469,594.0849999999999,549.654,77,570,2758,55.543,290.897,213.492,9,104,165,6.551,53.104,12.767,69,73,13,56.374,70.31099999999999,1.681,97,373,611,70.285,190.181,47.279,179,614,1006,129.879,313.581,77.89500000000001,100,683,3213,72.414,348.74300000000005,248.745
Hawaii,2011,97800,138119,887821,4,24,53,43.7,177.264,59.592,12,79,480,124.398,571.228,541.175,6,40,157,62.527,288.298,176.777,1,6,12,7.43,43.818000000000005,13.545,5,5,1,71.013,81.484,3.13,9,25,51,96.872,181.542,56.945,16,44,90,166.047,315.12,101.418,8,47,173,85.68,337.854,195.023
Michigan,2011,814217,1098296,6392662,31,153,398,37.845,139.662,62.283,109,684,3670,133.547,623.001,574.1659999999999,66,405,1680,81.41900000000001,369.122,262.87300000000005,6,39,67,7.859,35.661,10.405,45,46,6,64.592,84.179,2.045,72,243,423,88.938,221.251,66.092,122,378,652,149.998,344.069,101.97,88,487,1981,107.721,443.018,309.91400000000004
Nevada,2011,219786,282581,1757473,9,47,141,40.466,165.55800000000002,80.17,30,168,996,136.05800000000002,594.6949999999999,566.5949999999999,15,100,415,70.044,353.627,235.868,2,12,17,9.16,43.59,9.658,13,12,2,70.525,90.902,2.1870000000000003,19,57,113,87.66300000000001,200.119,64.351,37,90,199,169.01,319.867,113.007,20,112,478,91.046,395.966,272.032
New York,2011,1474700,2242476,12760358,53,292,735,36.089000000000006,130.3,57.62,244,1461,7438,165.572,651.676,582.908,85,692,2601,57.577000000000005,308.618,203.798,11,126,211,7.465,56.244,16.505,74,91,18,56.847,79.295,2.414,116,479,763,78.636,213.476,59.805,204,782,1239,138.59199999999998,348.735,97.117,117,797,3060,79.541,355.343,239.825
Pennsylvania,2011,964004,1405623,8405726,38,201,468,39.322,143.038,55.713,130,904,4944,134.496,642.8249999999999,588.176,85,500,2029,88.285,355.845,241.373,6,58,123,6.109,41.516,14.644,46,61,8,54.267,83.08,1.742,66,247,353,68.702,175.43900000000002,41.975,124,449,624,129.042,319.281,74.291,110,608,2515,113.969,432.307,299.195
Texas,2011,2265694,2919940,15484139,80,414,852,35.108,141.769,54.992,270,1652,8040,119.092,565.6529999999999,519.248,135,905,3181,59.601,309.975,205.446,25,123,139,11.205,42.225,8.97,108,114,14,52.623000000000005,68.93900000000001,1.473,143,402,511,63.221,137.608,32.984,279,720,930,123.321,246.441,60.075,183,1043,3826,80.895,357.214,247.106
Alabama,2012,383469,536933,3094837,13,65,170,34.81,120.707,54.973,43,273,1435,112.061,508.91,463.78,24,181,840,62.492,337.433,271.374,2,14,32,4.637,25.904,10.356,18,18,3,47.793,59.105,1.261,18,75,105,48.132,139.31,34.086,40,136,213,103.61,253.621,68.966,34,226,1006,88.27,421.7600000000001,324.993
California,2012,3117442,4458805,24005740,95,653,1559,30.527,146.444,64.92399999999999,362,2567,12683,116.041,575.645,528.317,134,1152,3861,43.055,258.33,160.83,25,278,361,7.861,62.297,15.047,164,193,32,60.075,83.682,2.611,243,965,1614,78.02099999999999,216.443,67.23400000000001,444,1519,2421,142.534,340.76800000000003,100.833,177,1301,4538,56.639,291.889,189.039
